cruise,file,date,file_duration,lat,lon,conductivity,salinity,ocean_tmp,par,bulk_red,stream_pressure,flow_rate,event_rate
realtime,2015-03-21T04-52-20+00-00,2015-03-21T04:52:20+00:00,180.067,4607.8417,12418.137,NA,31.7,11.69,-0.000979,57.246,10.89,2373.73051217235,NA
realtime,2015-03-21T04-55-20+00-00,2015-03-21T04:55:20+00:00,180.051,4607.6144,12418.5073,NA,31.73,11.7,-0.000979,57.246,12,2471.3437336,NA
realtime,2015-03-21T04-58-20+00-00,2015-03-21T04:58:20+00:00,180.103,4607.2309,12419.1223,NA,31.8,11.74,-0.000979,57.246,12,2471.3437336,NA
realtime,2015-03-21T05-01-21+00-00,2015-03-21T05:01:21+00:00,180.101,4606.8233,12419.7616,NA,31.83,11.83,-0.000953,57.246,12,2471.3437336,NA
realtime,2015-03-21T05-04-21+00-00,2015-03-21T05:04:21+00:00,180.004,4606.4189,12420.4016,NA,31.83,11.84,-0.000979,57.246,12,2471.3437336,NA
realtime,2015-03-21T05-07-21+00-00,2015-03-21T05:07:21+00:00,180.028,4606.1068,12420.9008,NA,31.85,11.84,-0.001004,57.246,12,2471.3437336,NA
realtime,2015-03-21T05-10-21+00-00,2015-03-21T05:10:21+00:00,180.143,4605.6895,12421.5619,NA,31.83,11.74,-0.000953,57.246,12,2471.3437336,NA
realtime,2015-03-21T05-13-22+00-00,2015-03-21T05:13:22+00:00,180.062,4605.3829,12422.0593,NA,31.83,11.72,-0.001004,57.246,12,2471.3437336,NA
realtime,2015-03-21T05-16-22+00-00,2015-03-21T05:16:22+00:00,180.041,4604.9808,12422.7198,NA,31.85,11.74,-0.000979,38.5522,12,2471.3437336,NA
realtime,2015-03-21T05-19-22+00-00,2015-03-21T05:19:22+00:00,180.031,4604.5814,12423.3424,NA,31.86,11.73,-0.000979,38.5522,12,2471.3437336,NA
realtime,2015-03-21T05-22-22+00-00,2015-03-21T05:22:22+00:00,180.11,4604.1817,12423.989,NA,31.89,11.8,-0.000979,38.5522,12,2471.3437336,NA
realtime,2015-03-21T05-25-22+00-00,2015-03-21T05:25:22+00:00,180.078,4603.8679,12424.4674,NA,31.88,11.8,-0.000979,38.5522,12,2471.3437336,NA
